Observation date,gas_price,int_rate,une_rate,m_supply,inflation_change,gas_price_change,int_rate_change,une_rate,m_supply_change
4/1/2016,2.113,0.37,5.1,12692.8,0.5,0.155,0,-0.3,70.5
5/1/2016,2.268,0.37,4.8,12763.3,0.4,0.098,0.01,0.1,65.4
6/1/2016,2.366,0.38,4.9,12828.7,0.3,-0.127,0.01,-0.1,60.9
7/1/2016,2.239,0.39,4.8,12889.6,-0.2,-0.061,0.01,0.1,86.6
8/1/2016,2.178,0.4,4.9,12976.2,0.1,0.041,0,0.1,62.9
9/1/2016,2.219,0.4,5,13039.1,0.2,0.03,0,-0.1,70.1
10/1/2016,2.249,0.4,4.9,13109.2,0.1,-0.067,0.01,-0.2,70.5
11/1/2016,2.182,0.41,4.7,13179.7,-0.2,0.072,0.13,0,32.8
12/1/2016,2.254,0.54,4.7,13212.5,-0.3,0.095,0.11,0,71
1/1/2017,2.349,0.65,4.7,13283.5,0.6,-0.045,0.01,-0.1,64.6
2/1/2017,2.304,0.66,4.6,13348.1,0.3,0.021,0.13,-0.2,68.6
3/1/2017,2.325,0.79,4.4,13416.7,0.1,0.092,0.11,0,60.7
4/1/2017,2.417,0.9,4.4,13477.4,0.4,-0.026,0.01,0,58.3
5/1/2017,2.391,0.91,4.4,13535.7,0.1,-0.044,0.13,-0.1,23.8
6/1/2017,2.347,1.04,4.3,13559.5,0.1,-0.047,0.11,0,64
7/1/2017,2.3,1.15,4.3,13623.5,-0.1,0.08,0.01,0.1,58.5
8/1/2017,2.38,1.16,4.4,13682,0.3,0.265,-0.01,-0.1,45.4
9/1/2017,2.645,1.15,4.3,13727.4,0.5,-0.14,0,-0.1,54.2
10/1/2017,2.505,1.15,4.2,13781.6,-0.1,0.059,0.01,0,26
11/1/2017,2.564,1.16,4.2,13807.6,0,-0.087,0.14,-0.1,45.4
12/1/2017,2.477,1.3,4.1,13853,0.1,0.078,0.11,-0.1,8.8
1/1/2018,2.555,1.41,4,13861.8,0.5,0.032,0.01,0.1,37.6
2/1/2018,2.587,1.42,4.1,13899.4,0.5,0.004,0.09,-0.1,58.6
3/1/2018,2.591,1.51,4,13958,0.2,0.166,0.18,0,22.7
4/1/2018,2.757,1.69,4,13980.7,0.4,0.144,0.01,-0.2,65.5
5/1/2018,2.901,1.7,3.8,14046.2,0.4,-0.01,0.12,0.2,60.9
6/1/2018,2.891,1.82,4,14107.1,0.2,-0.042,0.09,-0.2,38.2
7/1/2018,2.849,1.91,3.8,14145.3,0,-0.013,0,0,47.9
8/1/2018,2.836,1.91,3.8,14193.2,0.1,0,0.04,-0.1,31.4
9/1/2018,2.836,1.95,3.7,14224.6,0.1,0.024,0.24,0.1,10.1
10/1/2018,2.86,2.19,3.8,14234.7,0.2,-0.213,0.01,0,10.3
11/1/2018,2.647,2.2,3.8,14245,-0.3,-0.281,0.07,0.1,110.3
12/1/2018,2.366,2.27,3.9,14355.3,-0.3,-0.118,0.13,0.1,61.8
1/1/2019,2.248,2.4,4,14417.1,0.2,0.061,0,-0.2,37.3
2/1/2019,2.309,2.4,3.8,14454.4,0.4,0.207,0.01,0,42.3
3/1/2019,2.516,2.41,3.8,14496.7,0.6,0.282,0.01,-0.1,34.3
4/1/2019,2.798,2.42,3.7,14531,0.5,0.061,-0.03,-0.1,112.4
5/1/2019,2.859,2.39,3.6,14643.4,0.2,-0.143,-0.01,0,122
6/1/2019,2.716,2.38,3.6,14765.4,0,0.024,0.02,0.1,81.8
7/1/2019,2.74,2.4,3.7,14847.2,0.2,-0.119,-0.27,-0.1,81.6
8/1/2019,2.621,2.13,3.6,14928.8,0,-0.029,-0.09,-0.1,91.1
9/1/2019,2.592,2.04,3.5,15019.9,0.1,0.035,-0.21,0.1,134.6
10/1/2019,2.627,1.83,3.6,15154.5,0.2,-0.029,-0.28,0,98.1
11/1/2019,2.598,1.55,3.6,15252.6,-0.1,-0.043,0,0,61.1
12/1/2019,2.555,1.55,3.6,15313.7,-0.1,-0.007,0,0,66.9
1/1/2020,2.548,1.55,3.6,15380.6,0.4,-0.106,0.03,-0.1,51.7
2/1/2020,2.442,1.58,3.5,15432.3,0.3,-0.208,-0.93,0.9,529.7
3/1/2020,2.234,0.65,4.4,15962,-0.2,-0.393,-0.6,10.4,1021.9
4/1/2020,1.841,0.05,14.8,16983.9,-0.7,0.029,0,-1.6,867
5/1/2020,1.87,0.05,13.2,17850.9,0,0.212,0.03,-2.2,291.9
6/1/2020,2.082,0.08,11,18142.8,0.5,0.101,0.01,-0.8,150.5
7/1/2020,2.183,0.09,10.2,18293.3,0.5,-0.001,0.01,-1.8,71.9
8/1/2020,2.182,0.1,8.4,18365.2,0.3,0.001,-0.01,-0.6,226.2
9/1/2020,2.183,0.09,7.8,18591.4,0.1,-0.025,0,-1,152.1
10/1/2020,2.158,0.09,6.8,18743.5,0,-0.05,0,-0.1,215.8
11/1/2020,2.108,0.09,6.7,18959.3,-1,0.087,0,0,138.2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
