Observation date,gas_price,int_rate,une_rate,m_supply,inflation_change,gas_price_change,int_rate_change,une_rate,m_supply_change
3/1/1994,1.008,3.34,6.5,3480.1,0.3,0.019,0.22,-0.1,1.2
4/1/1994,1.027,3.56,6.4,3481.3,0.1,0.02,0.45,-0.3,9.5
5/1/1994,1.047,4.01,6.1,3490.8,0.1,0.031,0.24,0,-11.3
6/1/1994,1.078,4.25,6.1,3479.5,0.3,0.028,0.01,0,8.7
7/1/1994,1.106,4.26,6.1,3488.2,0.3,0.049,0.21,-0.1,-2.5
8/1/1994,1.155,4.47,6,3485.7,0.4,-0.011,0.26,-0.1,0.4
9/1/1994,1.144,4.73,5.9,3486.1,0.3,-0.03,0.03,-0.1,-1.8
10/1/1994,1.114,4.76,5.8,3484.3,0.1,0.002,0.53,-0.2,2.9
11/1/1994,1.116,5.29,5.6,3487.2,0.1,-0.025,0.16,-0.1,-0.8
12/1/1994,1.091,5.45,5.5,3486.4,0,-0.009,0.08,0.1,6
1/1/1995,1.082,5.53,5.6,3492.4,0.4,-0.009,0.39,-0.2,-2.5
2/1/1995,1.073,5.92,5.4,3489.9,0.4,-0.001,0.06,0,1.2
3/1/1995,1.072,5.98,5.4,3491.1,0.3,0.039,0.07,0.4,8.1
4/1/1995,1.111,6.05,5.8,3499.2,0.3,0.067,-0.04,-0.2,25
5/1/1995,1.178,6.01,5.6,3524.2,0.2,0.014,-0.01,0,24.7
6/1/1995,1.192,6,5.6,3548.9,0.2,-0.038,-0.15,0.1,18.5
7/1/1995,1.154,5.85,5.7,3567.4,0,-0.031,-0.11,0,21.6
8/1/1995,1.123,5.74,5.7,3589,0.3,-0.012,0.06,-0.1,13.1
9/1/1995,1.111,5.8,5.6,3602.1,0.2,-0.024,-0.04,-0.1,11.3
10/1/1995,1.087,5.76,5.5,3613.4,0.3,-0.025,0.04,0.1,6.5
11/1/1995,1.062,5.8,5.6,3619.9,-0.1,0.009,-0.2,0,9.6
12/1/1995,1.071,5.6,5.6,3629.5,-0.1,0.019,-0.04,0,18.4
1/1/1996,1.09,5.56,5.6,3647.9,0.6,-0.001,-0.34,-0.1,13.9
2/1/1996,1.089,5.22,5.5,3661.8,0.3,0.048,0.09,0,25.1
3/1/1996,1.137,5.31,5.5,3686.9,0.5,0.094,-0.09,0.1,10.8
4/1/1996,1.231,5.22,5.6,3697.7,0.4,0.047,0.02,0,11.9
5/1/1996,1.278,5.24,5.6,3709.6,0.2,-0.019,0.03,-0.3,12.9
6/1/1996,1.259,5.27,5.3,3722.5,0.1,-0.031,0.13,0.2,14.6
7/1/1996,1.228,5.4,5.5,3737.1,0.2,-0.022,-0.18,-0.4,6.9
